Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17722-71467,PG,Malcolm,,Delaney,12.07619077,42,3600,CHI@ATL,ATL,CHI,,
17722-23572,SF,Taurean,,Prince,7.572000122,25,3500,CHI@ATL,ATL,CHI,,
17722-49336,SF,DeAndre',,Bembry,4.40625,16,3500,CHI@ATL,ATL,CHI,,
17722-15587,SF,Ryan,,Kelly,4.388888889,9,3500,CHI@ATL,ATL,CHI,,
17722-55063,C,Edy,,Tavares,3.200000048,1,3500,CHI@ATL,ATL,CHI,,
17722-9547,SF,Mike,,Dunleavy,9.218518292,27,3500,CHI@ATL,ATL,CHI,,
17722-9647,SF,Thabo,,Sefolosha,18.70769168,39,3500,CHI@ATL,ATL,CHI,,
17722-16368,SF,Mike,,Scott,7.25,10,3500,CHI@ATL,ATL,CHI,,
17722-9621,C,Brook,,Lopez,32.36756691,37,7400,BKN@NO,BKN,NO,,
17722-12350,PF,Trevor,,Booker,26.3315783,38,5400,BKN@NO,BKN,NO,,
17722-42148,SF,Rondae,,Hollis-Jefferson,18.40270336,37,4600,BKN@NO,BKN,NO,,
17722-14530,SF,Bojan,,Bogdanovic,19.77560946,41,4100,BKN@NO,BKN,NO,,
17722-23798,SF,Caris,,LeVert,12.75714257,21,4100,BKN@NO,BKN,NO,,
17722-15520,SG,Sean,,Kilpatrick,22.28292623,41,3900,BKN@NO,BKN,NO,,
17722-15788,C,Justin,,Hamilton,15.61944411,36,3900,BKN@NO,BKN,NO,,
17722-15542,PG,Spencer,,Dinwiddie,12.6833335,18,3800,BKN@NO,BKN,NO,,
17722-9733,SG,Randy,,Foye,10.45357186,28,3500,BKN@NO,BKN,NO,,
17722-12344,PG,Greivis,,Vasquez,6.633333206,3,3500,BKN@NO,BKN,NO,,
17722-59483,PF,Chris,,McCullough,4.836363706,11,3500,BKN@NO,BKN,NO,,
17722-15469,PF,Quincy,,Acy,5.720000076,10,3500,BKN@NO,BKN,NO,,
17722-23772,PG,Yogi,,Ferrell,8.790000153,10,3500,BKN@NO,BKN,NO,,
17722-9542,PF,Luis,,Scola,11.36333313,30,3500,BKN@NO,BKN,NO,,
17722-23920,PF,Anthony,,Bennett,10.02608722,23,3500,BKN@NO,BKN,NO,,
17722-58247,PG,Isaiah,,Whitehead,14.22121175,33,3500,BKN@NO,BKN,NO,,
17722-16363,SG,Joe,,Harris,14.32820482,39,3500,BKN@NO,BKN,NO,,
17722-14507,PG,Kemba,,Walker,36.69999881,41,8300,TOR@CHA,CHA,TOR,,
17722-9809,SG,Nicolas,,Batum,33.38205191,39,7400,TOR@CHA,CHA,TOR,,
17722-15758,SF,Michael,,Kidd-Gilchrist,22.46097621,41,5100,TOR@CHA,CHA,TOR,,
17722-15691,C,Cody,,Zeller,23.00285645,35,5000,TOR@CHA,CHA,TOR,,
17722-9451,PF,Marvin,,Williams,20.42777846,36,4900,TOR@CHA,CHA,TOR,,
17722-9715,SG,Marco,,Belinelli,17.14864865,37,4000,TOR@CHA,CHA,TOR,,
17722-9700,C,Spencer,,Hawes,15.4137931,29,3900,TOR@CHA,CHA,TOR,,
17722-16448,PF,Frank,,Kaminsky,19.325,40,3800,TOR@CHA,CHA,TOR,,
17722-9553,C,Roy,,Hibbert,12.70857108,35,3700,TOR@CHA,CHA,TOR,,
