X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,date
matchuplink,511512,8:00p,ClevelandMemphisOptions,649-2FS-SE,192 -110-5½ -110,41.7%58.3%,189 -119-7 -105,189½ -105-7 -103,190 -110-7 -110,189½ -110-7 -105,189½ -105-7 -105,190 -110-7 -110,190 -110-7½ -110,190 -110-7 -110,190 -110-7 -110,189½ -110-7 -105,2016-12-14
matchuplink,513514,8:00p,SacramentoHoustonOptions,ROOT SPORTS674,216 -110-9½ -110,42.0%58.0%,213½ -113-13½ +102,213 -105-13½ -102,213 -110-13½ -105,213 -115-13½ -105,213 -105-13½ -105,213 -110-14 -105,213 -115-13½ -115,213 -110-13½ -105,213 -110-13½ -110,213 -115-13½ -105,2016-12-14
matchuplink,515516,8:30p,DetroitDallasOptions,FS-SW676,-3 -110194 -110,59.7%40.3%,-5 -102190 -113,-5 -105190½ -107,-5 -105190½ -110,-5 -110190 -110,-5 -105191 -105,-5 -105190½ -110,-6 -105190 -115,-5 -105190½ -110,-6 -110190 -110,-5 -110190 -110,2016-12-14
matchuplink,517518,9:00p,Oklahoma CityUtahOptions,ROOT SPORTS687,199 -110-5 -110,47.8%52.2%,198½ -107-7½ -103,198½ -107-7½ -106,199 -110-7 -112,199 -115-7½ -105,198½ -105-7½ -105,199 -110-7 -112,199 -115-7½ -105,199 -110-7 -112,199 -110-7½ -110,199 -115-7½ -105,2016-12-14
matchuplink,519520,9:30p,BostonSan AntonioOptions,ESPN206,201½ -110-7½ -110,50.9%49.1%,196½ -108-6 +102,196½ -107-6 -107,197 -110-6 -105,196½ -110-6 -110,196½ -105-6 -105,197 -110-6 -105,197 -110-6½ -110,196½ -110-5½ -110,196½ -110-6 -110,196½ -110-6 -110,2016-12-14
matchuplink,701702,7:00p,MemphisClevelandOptions,660FS-OH,207 -110-13½ -110,55.4%44.6%,201½ -110-14½ -115,201 -110-14½ -110,200½ -110-14½ -115,201½ -115-15 -110,201 -105-14 -105,201 -110-14½ -115,202 -110-14 -115,200½ -110-14½ -115,201½ -110-14½ -115,201½ -115-15 -110,2016-12-13
matchuplink,703704,7:30p,OrlandoAtlantaOptions,649FS-SE,197½ -110-6½ -110,50.1%49.9%,202 -110-8½ -101,201½ -110-8½ -110,202 -110-8½ -115,200½ -110-8½ +101,202½ -105-8 -105,202 -110-8½ -115,202 -110-8½ -115,202 -110-8½ -115,202 -110-8½ -110,200½ -110-8½ +101,2016-12-13
matchuplink,705706,8:00p,MinnesotaChicagoOptions,ESPN206,210 -110-7½ -110,48.8%51.2%,207½ -107-6 -100,207½ -110-5½ -110,208 -110-5½ -115,207½ -113-6 +105,208 -105-5½ -105,207½ -110-5½ -110,207 -115-6 -110,208 -110-5½ -115,207½ -110-5½ -115,207½ -113-6 +105,2016-12-13
matchuplink,707708,8:00p,Golden StateNew OrleansOptions,FS-NO676-4,-11 -110223 -110,61.9%38.1%,-11 -110225 -106,-11 -110225 -110,-11½ -110225 -110,-11 -115225 -115,-11½ -105225½ -105,-11 -115225 -110,-11½ -115226 -115,-11½ -110225 -110,-11 -120225 -110,-11 -115225 -115,2016-12-13
matchuplink,709710,9:00p,New YorkPhoenixOptions,686FS-AZ,-3½ -110219½ -110,59.5%40.5%,-2 +102219 -108,-2 -103219 -108,-1½ -110218½ -110,-2 -105219 -115,-2 -105219 -105,-1½ -110218½ -110,-2½ -115219 -115,-1½ -110218½ -110,-2 -110218½ -110,-2 -105219 -115,2016-12-13
matchuplink,711712,10:30p,Oklahoma CityPortlandOptions,ESPN206,-1 -110219½ -110,50.1%49.9%,218½ -117-2 -113,218½ -110-2 -110,219 -110-2 -115,218½ -120-2 -118,219 -105-2½ -105,219 -110-2 -115,220 -115-2 -115,219 -110-2 -115,219 -110-2 -115,218½ -120-2 -118,2016-12-13
matchuplink,501502,7:00p,CharlotteIndianaOptions,FS-IN671-4,211½ -110-1 -115,57.2%42.8%,-1½ -100208½ -107,-1½ -110208 -110,-1½ -110208½ -110,-1½ -110208 -110,-1½ -105208½ -105,-1½ -110208½ -110,-1½ -115208 -115,-1½ -110208½ -110,-1½ -110208½ -110,-1½ -110208 -110,2016-12-12
matchuplink,503504,7:30p,MilwaukeeTorontoOptions,FS-WI668-1,215½ -110-9 -110,47.6%52.4%,212½ -106-8 -102,212½ -110-8 -110,212½ -110-8 -111,212½ -110-8 -113,212½ -105-8 -105,212½ -110-8 -111,213 -115-8 -110,212½ -110-8 -111,212½ -110-8 -110,212½ -110-8 -113,2016-12-12
matchuplink,505506,7:30p,WashingtonMiamiOptions,NBA TV216,-1 -110205 -110,60.7%39.3%,-1½ -107207½ -107,-1½ -110207½ -110,-1 -115208½ -110,-1½ -107207½ -110,-1½ -105208 -105,-1 -115208½ -110,-1½ -115208 -115,-1 -115208½ -110,-1½ -110208 -110,-1½ -107207½ -110,2016-12-12
matchuplink,507508,8:00p,BrooklynHoustonOptions,ROOT SPORTS674,228 -110-15½ -110,40.4%59.6%,229½ -107-13½ -105,229½ -107-13½ -101,229½ -110-13½ -105,229½ -110-13½ -105,229½ -105-13½ -105,229½ -110-13½ -110,229 -115-14 -105,229½ -110-13½ -105,229½ -110-13½ -110,229½ -110-13½ -105,2016-12-12
matchuplink,509510,8:30p,DenverDallasOptions,FS-SW676,-1 -110203½ -110,59.7%40.3%,-2½ -102203½ -108,-2½ -110203½ -110,-2½ -110204 -110,-2½ -115203½ -115,-2½ -105204 -105,-2½ -110204 -110,-2½ -115204 -110,-2½ -110204 -110,-2½ -110203½ -110,-2½ -115203½ -115,2016-12-12
matchuplink,511512,10:30p,L.A. LakersSacramentoOptions,698CSN-CA,217 -110-7 -110,59.9%40.1%,216 -106-8½ -107,216½ -110-8½ -110,217 -110-9 -110,216½ -110-8½ -112,217 -105-8½ -105,217 -110-9 -110,217 -110-8½ -105,217 -110-9 -110,216½ -110-9 -110,216½ -110-8½ -112,2016-12-12
matchuplink,513514,10:30p,PortlandL.A. ClippersOptions,NBA TV216,216 -110-10 -110,53.5%46.5%,220½ -116-10 +102,219½ -110-10 -110,218½ -110-10 -105,219½ -115-10 +100,220 -105-10 -105,218½ -113-10 -105,220 -115-10 -110,219 -110-10 -110,219 -110-10 -110,219½ -115-10 +100,2016-12-12
matchuplink,701702,6:00p,PhiladelphiaDetroitOptions,663-1FS-DET+,201 -110-11½ -110,46.8%53.2%,196½ -105-12 -105,197½ -105-12 -105,198 -110-12 -110,198 -110-12 -110,197½ -105-12 -105,198 -110-12 -110,198 -110-12 -115,198 -110-12 -110,198 -110-12 -110,198 -110-12 -110,2016-12-11
matchuplink,703704,7:00p,BostonOklahoma CityOptions,FS-OK676-5,209 -110-4½ -110,44.2%55.8%,207 -110-3 -113,207 -110-3 -110,207½ -110-3 -112,207½ -115-3½ -105,207½ -105-3 -105,208 -110-3 -110,207 -115-3½ -110,207½ -110-3 -112,207 -110-3 -115,207½ -115-3½ -105,2016-12-11
matchuplink,705706,7:00p,Golden StateMinnesotaOptions,FS-N668,-10½ -110223 -110,63.3%36.7%,-10 -104226 -110,-10 -110226 -110,-10 -105226½ -110,-10 -115225½ -115,-10½ -105226 -105,-10½ -110226 -110,-10½ -110226 -110,-10 -105226½ -110,-10 -110226 -110,-10 -115225½ -115,2016-12-11
matchuplink,707708,8:30p,New OrleansPhoenixOptions,686FS-AZ,210½ -110-3 -110,54.4%45.6%,216½ -107-2 -105,216 -110-2 -110,216 -110-2 -105,216 -115-2 -105,216½ -105-2 -105,216 -110-2 -110,216 -115-2½ -105,216 -110-2 -105,216½ -110-2 -110,216 -115-2 -105,2016-12-11
matchuplink,709710,9:30p,New YorkL.A. LakersOptions,691TWC-SN,-2½ -110216½ -110,61.5%38.5%,-2½ -103217 -107,-2½ -110217 -110,-2½ -110217 -110,-2½ -105217 -110,-2½ -105217½ -105,-2½ -110217 -110,-3 -110217 -115,-2½ -110217 -110,-2½ -110217 -110,-2½ -105217 -110,2016-12-11
matchuplink,501502,7:00p,DenverOrlandoOptions,654FS-FL,-2½ -110205 -110,54.0%46.0%,-2 -102204½ -105,-2 -101205½ -108,-2 -110205½ -110,-2 -103205½ -110,-2 -105205½ -105,-2 -110205½ -110,-2 -110205 -115,-2 -110205½ -110,-2 -110205½ -110,-2 -103205½ -110,2016-12-10
matchuplink,503504,7:00p,MilwaukeeWashingtonOptions,642CSN-DC,212½ -110-4½ -110,53.0%47.0%,210 -113-4½ +102,210 -108-4 -108,209½ -110-4½ -105,209 -110-4½ -105,209½ -105-4 -105,209½ -110-4½ -110,211 -115-4 -110,209½ -110-4½ -105,210 -110-4½ -105,209 -110-4½ -105,2016-12-10
matchuplink,505506,7:00p,PortlandIndianaOptions,FS-IN671-4,215½ -110-2 -110,54.6%45.4%,-1 +102217½ -108,-1 -103217½ -108,PK -110217 -110,-1 -105217½ -110,PK -105217½ -105,PK -110217 -110,-1½ -110217 -110,PK -110217 -110,-1 -110217½ -110,-1 -105217½ -110,2016-12-10
matchuplink,507508,7:30p,CharlotteClevelandOptions,660FS-OH,212 -110-7½ -115,44.0%56.0%,214 -110-7½ -105,215 -118-8 -103,214½ -110-8 -105,213½ -125-7½ -112,214½ -105-7½ -105,214½ -110-8 -105,214 -115-8 -105,214½ -110-8 -105,214 -110-7½ -105,213½ -125-7½ -112,2016-12-10
matchuplink,509510,8:00p,DallasHoustonOptions,ROOT SPORTS674,210 -110-13½ -110,50.5%49.5%,209 -110-12½ +102,208½ -108-12½ -105,208 -110-12 -110,209 -110-12½ -110,209 -105-12½ -105,208 -110-12 -110,209 -115-13 -105,208 -110-12 -110,209 -110-12½ -110,209 -110-12½ -110,2016-12-10
matchuplink,511512,8:00p,MiamiChicagoOptions,NBA TV216,198½ -110-8 -110,47.4%52.6%,201 -105-9½ +101,201 -108-9½ -104,201 -110-9½ -105,201 -110-9½ +100,201 -105-9½ -105,201 -110-9½ -110,200 -115-10 -115,201 -110-9½ -105,201 -110-9½ -110,201 -110-9½ +100,2016-12-10
matchuplink,513514,8:00p,Golden StateMemphisOptions,649-2FS-SE,-10½ -110210 -110,63.4%36.6%,-13 +102212 -108,-13 -105211½ -108,-13 -115211½ -110,-13 -115211½ -115,-13 -105212 -105,-13 -115211½ -110,-13½ -105212 -110,-13 -115211½ -110,-13 -110211½ -110,-13 -115211½ -115,2016-12-10
matchuplink,515516,8:30p,BrooklynSan AntonioOptions,YES631,210 -110-13½ -110,45.8%54.2%,210½ -110-15½ -113,210 -110-16 -110,211½ -110-16 -110,210½ -115-15½ -115,210½ -105-16 -105,211½ -110-16 -110,210 -115-16 -110,211½ -110-16 -110,210 -110-15½ -135,210½ -115-15½ -115,2016-12-10
matchuplink,517518,9:00p,SacramentoUtahOptions,ROOT SPORTS687,198½ -110-7 -110,46.1%53.9%,196 -107-6 -111,196 -110-6 -110,196½ -110-6 -115,196½ -110-5½ -120,196 -105-6 -105,196½ -110-6 -115,196 -110-6½ -105,196½ -110-6 -115,196½ -110-6 -115,196½ -110-5½ -120,2016-12-10
matchuplink,519520,10:30p,New OrleansL.A. ClippersOptions,NBA TV216,205 -115-13 -110,45.3%54.7%,199½ -106-15 -105,199½ -105-15 -105,200½ -110-15½ -110,199½ -115-15 -105,200 -105-15 -105,200½ -110-15½ -110,202 -115-15 -115,200½ -110-15½ -110,199½ -110-15 -110,199½ -115-15 -105,2016-12-10
matchuplink,701702,7:00p,OrlandoCharlotteOptions,649-1FS-SE,197 -110-7 -110,51.7%48.3%,204 -116-6½ -105,203½ -110-6½ -110,203½ -110-6½ -105,204 -115-6½ -105,203½ -105-6½ -105,203½ -110-6½ -105,203 -115-7 -105,203½ -110-6½ -105,203½ -110-6½ -110,204 -115-6½ -105,2016-12-09
