"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17699-40200","C","Lucas","","Nogueira","16.781817811908144","33","3800","TOR@PHI","TOR","PHI","GTD","Eye","",""
"17699-9647","SF","Thabo","","Sefolosha","19.168421695106908","38","3800","ATL@DET","ATL","DET","","","",""
"17699-16405","SF","Terrence","","Ross","16.669230143229168","39","3700","TOR@PHI","TOR","PHI","","","",""
"17699-23097","SG","Tomas","","Satoransky","9.204000244140625","25","3700","MEM@WAS","WAS","MEM","","","",""
"17699-16448","PF","Frank","","Kaminsky","19.292308318309296","39","3700","POR@CHA","CHA","POR","","","",""
"17699-20064","PG","Matthew","","Dellavedova","18.35428641183036","35","3700","MIL@HOU","MIL","HOU","","","",""
"17699-9862","PF","Amir","","Johnson","16.13000030517578","40","3700","NY@BOS","BOS","NY","","","",""
"17699-14505","C","Bismack","","Biyombo","18.754762195405505","42","3700","ORL@NO","ORL","NO","GTD","Knee","",""
"17699-22727","PG","Ron","","Baker","8.45882370892693","17","3700","NY@BOS","NY","BOS","","","",""
"17699-14554","SG","E'Twaun","","Moore","17.144736842105264","38","3700","ORL@NO","NO","ORL","","","",""
"17699-40209","C","Joffrey","","Lauvergne","11.445945945945946","37","3700","OKC@GS","OKC","GS","","","",""
"17699-9501","PF","Kris","","Humphries","9.928125381469727","32","3700","ATL@DET","ATL","DET","","","",""
"17699-9512","C","Nene","","Hilario","14.646154159154648","39","3700","MIL@HOU","HOU","MIL","","","",""
"17699-58153","SF","Kelly","","Oubre Jr.","12.349999678762336","38","3700","MEM@WAS","WAS","MEM","","","",""
"17699-71467","PG","Malcolm","","Delaney","12.148780636671113","41","3700","ATL@DET","ATL","DET","","","",""
"17699-9565","PG","Jordan","","Farmar","15.050000190734863","2","3700","IND@SAC","SAC","IND","","","",""
"17699-9615","SG","Courtney","","Lee","17.06756756756757","37","3700","NY@BOS","NY","BOS","","","",""
"17699-23447","PF","Richaun","","Holmes","15.580952962239584","21","3700","TOR@PHI","PHI","TOR","","","",""
"17699-9657","SF","Matt","","Barnes","17.570269610430742","37","3700","IND@SAC","SAC","IND","","","",""
"17699-58350","SF","Stanley","","Johnson","9.905127892127403","39","3700","ATL@DET","DET","ATL","","","",""
"17699-9725","SF","C.J.","","Miles","17.100000718060663","34","3700","IND@SAC","IND","SAC","","","",""
"17699-66091","PF","Cheick","","Diallo","11.314285278320312","7","3600","ORL@NO","NO","ORL","","","",""
"17699-15952","C","John","","Henson","17.400000321237666","38","3600","MIL@HOU","MIL","HOU","","","",""
"17699-63127","C","Guillermo","","Hernangomez","11.925714111328125","35","3600","NY@BOS","NY","BOS","","","",""
"17699-42661","PF","Noah","","Vonleh","8.014285714285714","35","3600","POR@CHA","POR","CHA","","","",""
"17699-16604","SG","Justin","","Holiday","13.535714285714286","42","3600","NY@BOS","NY","BOS","","","",""
"17699-9951","SG","Gerald","","Henderson","15.971428571428572","35","3600","TOR@PHI","PHI","TOR","","","",""
"17699-12511","PG","Ish","","Smith","19.795238676525297","42","3600","ATL@DET","DET","ATL","","","",""
"17699-9960","PF","Omri","","Casspi","12.772727272727273","22","3600","IND@SAC","SAC","IND","O","Calf","",""
"17699-23800","SF","Glenn","","Robinson III","13.218420731393914","38","3600","IND@SAC","IND","SAC","","","",""
"17699-9466","PG","D.J.","","Augustin","14.958139818768169","43","3600","ORL@NO","ORL","NO","","","",""
"17699-23831","SF","Jerami","","Grant","12.56190418061756","42","3600","OKC@GS","OKC","GS","","","",""
"17699-9514","SG","Rodney","","Stuckey","14.629411585190716","17","3600","IND@SAC","IND","SAC","O","Hamstring","",""
