gid,name,espn_id,espn_name,team,gp,gs,min,fg,fga,3p,3pa,ft,fta,orb,drb,rb,ast,stl,blk,to,pf,dq,+/-,dd,td,fanduel pts,draftkings pts,draftday pts,yahoo pts,fanduel position,fanduel salary,draftkings position,draftkings salary,draftday position,draftday salary,yahoo position,yahoo salary,team pts,oppt pts,total pts
4632,"Dieng, Gorgui",2534781,"Dieng, Gorgui",min,1,1,23.41666667,5,5,0,0,0,0,0,1,1,1,0,1,2,2,0,20,0,0,12.7,13.75,13.75,12.7,4,5500,45,5400,45,11650,4,21,95,77,172
4945,"Dunn, Kris",0,"Dunn, Kris",min,1,0,9.65,2,6,0,0,0,0,1,2,3,0,2,1,2,0,0,3,0,0,11.6,12.75,11.75,11.6,1,3500,1,3000,1,6200,1,10,95,77,172
4762,"Embiid, Joel",3059318,"Embiid, Joel",phi,1,1,26.9,7,20,1,3,6,7,5,9,14,1,1,1,1,3,0,9,1,0,42.3,45.5,43,42.8,5,7500,45,8000,45,15000,5,35,98,97,195
4697,"Ennis, James",2579321,"Ennis, James",mem,1,0,17.28333333,3,4,0,0,2,4,2,2,4,0,1,0,1,3,0,0,0,0,13.8,14.5,13.75,13.8,3,3700,3,3400,23,7400,3,10,71,75,146
4729,"Ennis, Tyler",3059281,"Ennis, Tyler",hou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,1,3000,1,5000,1,10,77,95,172
4503,"Ezeli, Festus",6587,"Ezeli, Festus",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3500,5,3000,5,5000,5,10,0,0,0
4972,"Felder, Kay",0,"Felder, Kay",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,1,3000,1,5000,1,10,0,0,0
3747,"Felton, Raymond",2753,"Felton, Raymond",lac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4200,23,4200,12,5550,3,11,0,0,0
4468,"Fournier, Evan",6588,"Fournier, Evan",orl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5800,23,6000,23,11800,2,22,0,0,0
3749,"Frye, Channing",2754,"Frye, Channing",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3800,45,3600,45,6300,4,10,0,0,0
3990,"Gasol, Marc",3206,"Gasol, Marc",mem,1,1,27.58333333,4,11,0,1,1,3,1,4,5,3,2,1,0,3,0,-3,0,0,25.5,25.75,23.5,25.5,5,8200,5,6800,5,14600,5,33,71,75,146
4705,"Gordon, Aaron",3064290,"Gordon, Aaron",orl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4600,34,5200,34,10650,3,19,0,0,0
4077,"Gordon, Eric",3431,"Gordon, Eric",hou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5900,2,5900,2,11600,2,22,77,95,172
3756,"Gortat, Marcin",2758,"Gortat, Marcin",was,1,1,29.7,5,8,0,0,0,0,5,4,9,2,0,0,1,0,0,0,0,0,22.8,23.75,23,22.8,5,6400,5,6000,5,12950,5,25,91,98,189
4765,"Grant, Jerami",2991070,"Grant, Jerami",okc,1,0,14.21666667,1,3,0,1,0,0,0,3,3,0,0,0,1,1,0,-4,0,0,4.6,5.25,4.75,4.6,3,3500,34,3100,34,5500,3,10,75,71,146
3760,"Green, Gerald",2761,"Green, Gerald",bos,1,0,14.41666667,2,6,1,4,0,1,1,2,3,1,1,0,0,0,0,9,0,0,12.1,12.75,12,12.6,2,3500,2,3000,23,5000,2,10,98,91,189
4581,"Green, JaMychal",2327577,"Green, JaMychal",mem,1,1,29.01666667,2,10,0,3,0,0,2,8,10,1,1,1,2,3,0,-3,0,0,19.5,21,19,19.5,4,4500,4,4300,4,9400,4,14,71,75,146
3992,"Green, Jeff",3209,"Green, Jeff",orl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3500,34,3100,23,6950,3,10,0,0,0
4172,"Griffin, Blake",3989,"Griffin, Blake",lac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8800,45,7300,45,17000,4,41,0,0,0
4224,"Harden, James",3992,"Harden, James",hou,1,1,39.41666667,9,18,1,7,7,8,0,6,6,9,1,2,6,0,0,-13,0,0,46.7,50.5,48.5,47.2,2,12400,12,12000,12,23800,2,61,77,95,172
4530,"Harkless, Maurice",6591,"Harkless, Maurice",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4500,3,4000,3,9300,3,17,0,0,0
4857,"Harrell, Montrezl",0,"Harrell, Montrezl",hou,1,1,17.48333333,2,4,0,0,5,5,1,3,4,2,1,0,0,4,0,-17,0,0,18.8,19,18.5,18.8,5,4800,45,5300,4,5950,5,15,77,95,172
4948,"Harrison, Andrew",0,"Harrison, Andrew",mem,1,0,10.55,2,5,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,8,8,7.25,8,1,3500,1,3700,12,7750,1,10,71,75,146
4190,"Henderson, Gerald",3993,"Henderson, Gerald",phi,1,0,26.26666667,5,10,0,0,2,2,0,2,2,1,0,0,0,1,0,4,0,0,15.9,16,14.75,15.9,2,3600,2,3500,23,6950,2,10,98,97,195
4949,"Hernangomez, Guillermo",0,"Hernangomez, Guillermo",nyk,1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,3500,5,3000,5,6250,5,10,97,98,195
4776,"Hezonja, Mario",0,"Hezonja, Mario",orl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3500,2,3000,2,5000,2,10,0,0,0
3408,"Hilario, Nene",1713,"Hilario, Nene",hou,1,0,14.71666667,4,6,1,1,0,0,0,2,2,0,0,0,0,3,0,-3,0,0,11.4,12,12,11.9,5,3600,5,3300,45,6900,5,10,77,95,172
4179,"Hill, Jordan",3994,"Hill, Jordan",min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,4,3000,45,5000,4,10,95,77,172
4558,"Holiday, Justin",2284101,"Holiday, Justin",nyk,1,0,15.23333333,2,5,0,1,0,0,0,2,2,1,0,0,1,0,0,17,0,0,6.9,7.5,6.75,6.9,2,3500,2,3200,23,6300,2,10,97,98,195
4835,"Holmes, Richaun",0,"Holmes, Richaun",phi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3700,4,3700,45,6100,4,10,98,97,195
3998,"Horford, Al",3213,"Horford, Al",bos,1,1,25.5,4,9,1,5,0,0,1,6,7,3,2,2,2,1,0,-7,0,0,27.9,29.75,29,28.4,5,7400,5,6700,45,13600,5,27,98,91,189
4916,"House, Danuel",0,"House, Danuel",was,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3500,2,3000,2,5000,2,10,91,98,189
4880,"Huestis, Josh",0,"Huestis, Josh",okc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3500,3,3000,3,5000,3,10,75,71,146
4104,"Ibaka, Serge",3439,"Ibaka, Serge",orl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6700,45,6300,45,12250,4,29,0,0,0
3765,"Ilyasova, Ersan",2767,"Ilyasova, Ersan",phi,1,1,29.81666667,5,16,1,8,5,6,2,2,4,5,0,0,3,1,0,9,0,0,25.3,27.5,25,25.8,4,5900,4,6100,34,10200,4,22,98,97,195
4379,"Irving, Kyrie",6442,"Irving, Kyrie",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8400,1,8200,12,15100,1,39,0,0,0
4923,"Jackson, Demetrius",0,"Jackson, Demetrius",bos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,1,3000,1,5000,1,10,98,91,189
3541,"James, LeBron",1966,"James, LeBron",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10100,3,9700,34,19100,3,53,0,0,0
