RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
,"Caris LeVert, BKN",19,17.7,.522,18.3,9.5,14.5,1.6,12.9,7.3,10.40,-0.5,-0.0
263,"Robert Covington, PHI",34,30.2,.484,10.6,13.6,17.2,5.1,16.1,10.6,10.39,-1.7,-0.1
264,"Shelvin Mack, UTAH",41,22.8,.516,22.9,15.4,20.0,2.0,8.7,5.5,10.37,-8.7,-0.3
265,"Marquese Chriss, PHX",39,17.9,.514,6.8,14.0,18.5,6.3,14.9,10.5,10.26,-12.9,-0.4
266,"Jordan McRae, CLE",26,10.8,.468,10.0,6.8,21.2,1.6,11.4,6.6,10.17,-1.4,-0.0
267,"Jameer Nelson, DEN",38,24.6,.527,30.2,13.2,18.3,1.7,7.6,4.6,10.12,-12.2,-0.4
268,"Jamal Murray, DEN",38,20.1,.491,15.8,10.9,19.5,3.5,10.7,7.1,10.07,-4.9,-0.2
269,"Matthew Dellavedova, MIL",33,27.2,.473,36.3,11.8,17.4,1.7,7.9,4.9,10.05,-12.7,-0.4
,"Patrick Patterson, TOR",33,28.0,.505,16.6,7.5,11.9,4.9,17.2,11.0,10.05,-20.1,-0.7
271,"Monta Ellis, IND",31,28.7,.533,23.7,14.7,16.0,0.5,10.5,5.6,10.03,-6.2,-0.2
272,"Iman Shumpert, CLE",38,24.2,.561,18.3,12.9,13.3,2.8,9.4,6.2,10.02,-6.5,-0.2
273,"Emmanuel Mudiay, DEN",37,28.8,.471,20.5,13.2,22.8,2.2,11.8,7.0,9.98,-16.3,-0.5
274,"Dario Saric, PHI",37,24.1,.488,12.0,14.4,20.2,5.7,20.9,13.3,9.95,-20.5,-0.7
275,"Josh McRoberts, MIA",22,17.3,.439,25.6,11.8,17.2,6.4,14.8,10.5,9.93,-8.9,-0.3
276,"Jerami Grant, PHI/OKC",40,21.3,.558,7.2,8.7,22.8,1.5,11.0,6.3,9.88,-7.9,-0.3
